name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Unai López,Central Midfield,26,4,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga,Rayo Vallecano,free transfer
Andy Pelmard,Centre-Back,22,4,France,Ligue 1,OGC Nice,Switzerland,Super League,FC Basel 1893,?
Dan Ndoye,Right Winger,21,4,France,Ligue 1,OGC Nice,Switzerland,Super League,FC Basel 1893,?
Danilho Doekhi,Centre-Back,24,4,Netherlands,Eredivisie,Vitesse Arnhem,Germany,Bundesliga,1.FC Union Berlin,free transfer
Arnaud Nordin,Left Winger,24,4,France,Ligue 2,AS Saint-Étienne,France,Ligue 1,Montpellier HSC,free transfer
Danilo,Centre-Forward,23,4,Netherlands,Eredivisie,Ajax Amsterdam,Netherlands,Eredivisie,Feyenoord Rotterdam,free transfer
Edinson Cavani,Centre-Forward,35,4,England,Premier League,Manchester United,Spain,LaLiga,Valencia CF,free transfer
Adama Traoré,Central Midfield,27,4,Turkey,Süper Lig,Hatayspor,England,Championship,Hull City,free transfer
Stéphane Bahoken,Centre-Forward,30,4,France,Ligue 1,Angers SCO,Turkey,Süper Lig,Kasimpasa,free transfer
Wahbi Khazri,Centre-Forward,31,4,France,Ligue 2,AS Saint-Étienne,France,Ligue 1,Montpellier HSC,free transfer
Jonjoe Kenny,Right-Back,25,4,England,Premier League,Everton FC,Germany,Bundesliga,Hertha BSC,free transfer
José Luis Morales,Centre-Forward,34,4,Spain,LaLiga2,Levante UD,Spain,LaLiga,Villarreal CF,free transfer
Xavi Simons,Attacking Midfield,19,4,France,Ligue 1,Paris Saint-Germain,Netherlands,Eredivisie,PSV Eindhoven,free transfer
Akim Zedadka,Right-Back,27,4,France,Ligue 1,Clermont Foot 63,France,Ligue 1,LOSC Lille,free transfer
Roberto Piccoli,Centre-Forward,21,4,Italy,Serie A,Atalanta BC,Italy,Serie A,Hellas Verona,loan transfer
Jaime Seoane,Central Midfield,25,4,Spain,LaLiga2,SD Huesca,Spain,LaLiga,Getafe CF,free transfer
Ivan Sunjic,Defensive Midfield,25,4,England,Championship,Birmingham City,Germany,Bundesliga,Hertha BSC,loan transfer
Jens Jönsson,Central Midfield,29,4,Spain,LaLiga,Cádiz CF,Greece,Super League 1,AEK Athens,free transfer
Axel Witsel,Defensive Midfield,33,4,Germany,Bundesliga,Borussia Dortmund,Spain,LaLiga,Atlético de Madrid,free transfer
Nemanja Radonjić,Left Winger,26,4,France,Ligue 1,Olympique Marseille,Italy,Serie A,Torino FC,loan transfer
Sergio Asenjo,Goalkeeper,33,4,Spain,LaLiga,Villarreal CF,Spain,LaLiga,Real Valladolid CF,free transfer
Erik Botheim,Centre-Forward,22,4,Russia,Premier Liga,FK Krasnodar,Italy,Serie A,US Salernitana 1919,free transfer
Joseba Zaldua,Right-Back,30,4,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Cádiz CF,free transfer
Samu Castillejo,Right Winger,27,4,Italy,Serie A,AC Milan,Spain,LaLiga,Valencia CF,free transfer
Brian Lozano,Left Winger,28,4,Mexico,Liga MX Apertura,Santos Laguna,Uruguay,Primera División,CA Peñarol,loan transfer
Orbelín Pineda,Central Midfield,26,4,Spain,LaLiga,Celta de Vigo,Greece,Super League 1,AEK Athens,loan transfer
Rhys Williams,Centre-Back,21,4,England,Premier League,Liverpool FC,England,Championship,Blackpool FC,loan transfer
Mathieu Cafaro,Attacking Midfield,25,4,Belgium,Jupiler Pro League,Standard Liège,France,Ligue 2,AS Saint-Étienne,loan transfer
Alexandru Mitrita,Left Winger,27,4,United States,MLS,New York City FC,Saudi Arabia,Professional League,Al-Raed,loan transfer
Oussama Idrissi,Left Winger,26,4,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Feyenoord Rotterdam,loan transfer
Pizzi,Attacking Midfield,32,4,Portugal,Liga Portugal,SL Benfica,United Arab Emirates,UAE Pro League,Al-Wahda FC Abu Dhabi,free transfer
Mamadou Loum,Defensive Midfield,25,4,Portugal,Liga Portugal,FC Porto,England,Championship,Reading FC,loan transfer
Krystian Bielik,Defensive Midfield,24,4,England,League One,Derby County,England,Championship,Birmingham City,loan transfer
Filip Djuricic,Attacking Midfield,30,4,Italy,Serie A,US Sassuolo,Italy,Serie A,UC Sampdoria,free transfer
Chidozie Awaziem,Centre-Back,25,4,Portugal,Liga Portugal,Boavista FC,Croatia,SuperSport HNL,HNK Hajduk Split,loan transfer
Folarin Balogun,Centre-Forward,21,4,England,Premier League 2,Arsenal FC U21,France,Ligue 1,Stade Reims,loan transfer
Eduardo Quaresma,Centre-Back,20,4,Portugal,Liga Portugal,Sporting CP,Germany,Bundesliga,TSG 1899 Hoffenheim,loan transfer
Jean-Paul Boëtius,Attacking Midfield,28,4,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,Hertha BSC,free transfer
Dries Mertens,Centre-Forward,35,4,Italy,Serie A,SSC Napoli,Turkey,Süper Lig,Galatasaray A.S.,free transfer
Jakub Jankto,Left Midfield,26,4,Spain,LaLiga,Getafe CF,Czech Republic,Fortuna Liga,AC Sparta Prague,loan transfer
Hamza Choudhury,Central Midfield,24,4,England,Premier League,Leicester City,England,Championship,Watford FC,loan transfer
Cole Bassett,Attacking Midfield,21,4,United States,MLS,Colorado Rapids,Netherlands,Eredivisie,Fortuna Sittard,loan transfer
Cheikhou Kouyaté,Defensive Midfield,32,4,England,Premier League,Crystal Palace,England,Premier League,Nottingham Forest,free transfer
Álex Collado,Attacking Midfield,23,4,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Elche CF,loan transfer
M'Baye Niang,Centre-Forward,27,4,France,Ligue 2,FC Girondins Bordeaux,France,Ligue 1,AJ Auxerre,free transfer
Issa Kaboré,Right-Back,21,4,England,Premier League,Manchester City,France,Ligue 1,Olympique Marseille,loan transfer
Harold Moukoudi,Centre-Back,24,4,France,Ligue 2,AS Saint-Étienne,Greece,Super League 1,AEK Athens,free transfer
Matías Pellegrini,Left Winger,22,4,United States,MLS,Inter Miami CF,United States,MLS,New York City FC,free transfer
Kortney Hause,Centre-Back,27,4,England,Premier League,Aston Villa,England,Championship,Watford FC,loan transfer
Hassane Kamara,Left-Back,28,4,Italy,Serie A,Udinese Calcio,England,Championship,Watford FC,loan transfer
Francisco Moura,defence,23,4,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Famalicão,loan transfer
Rony Lopes,Right Winger,26,4,Spain,LaLiga,Sevilla FC,France,Ligue 1,ESTAC Troyes,loan transfer
Adrián Embarba,Right Winger,30,4,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,UD Almería,?
Mattia Aramu,Attacking Midfield,27,4,Italy,Serie B,Venezia FC,Italy,Serie B,Genoa CFC,loan transfer
Erison,Centre-Forward,23,4,Brazil,Série A,Botafogo de Futebol e Regatas,Portugal,Liga Portugal,GD Estoril Praia,loan transfer
Janis Antiste,Centre-Forward,20,4,Italy,Serie A,Spezia Calcio,Italy,Serie A,US Sassuolo,loan transfer
Felix Mambimbi,Left Winger,21,4,Switzerland,Super League,BSC Young Boys,Netherlands,Eredivisie,SC Cambuur-Leeuwarden,loan transfer
Willian,Right Winger,34,4,Brazil,Série A,Sport Club Corinthians Paulista,England,Premier League,Fulham FC,free transfer
Yann Karamoh,Left Winger,24,4,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,Torino FC,?
Francesco Acerbi,Centre-Back,34,4,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,loan transfer
Carlos Rotondi,Left Winger,25,3,Argentina,Liga Profesional,Defensa y Justicia,Mexico,Liga MX Apertura,CD Cruz Azul,3
Joel Ordóñez,Centre-Back,18,0.6,Ecuador,Serie A Segunda Etapa,Independiente del Valle,Belgium,Jupiler Pro League,Club Brugge KV,3
Charles Pickel,Defensive Midfield,25,2,Portugal,Liga Portugal,FC Famalicão,Italy,Serie A,US Cremonese,3
Ozan Tufan,Central Midfield,27,3,Turkey,Süper Lig,Fenerbahce SK,England,Championship,Hull City,3
Adam Maher,Defensive Midfield,28,3,Netherlands,Eredivisie,FC Utrecht,Saudi Arabia,Professional League,Damac FC,1
Eduardo Salvio,Right Winger,31,3,Argentina,Liga Profesional,CA Boca Juniors,Mexico,Liga MX Apertura,UNAM Pumas,free transfer
Josha Vagnoman,Right-Back,21,3,Germany,2. Bundesliga,Hamburger SV,Germany,Bundesliga,VfB Stuttgart,3
Emiliano Rigoni,Right Winger,29,3,Brazil,Série A,São Paulo Futebol Clube,United States,MLS,Austin FC,3
Eren Elmali,Left-Back,21,3,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Trabzonspor,3
Josh Doig,Left-Back,20,3,Scotland,Premiership,Hibernian FC,Italy,Serie A,Hellas Verona,3
Lukas Lerager,Central Midfield,28,3,Italy,Serie B,Genoa CFC,Denmark,Superligaen,FC Copenhagen,3
Francesco Caputo,Centre-Forward,34,2,Italy,Serie A,US Sassuolo,Italy,Serie A,UC Sampdoria,3
Jackson Porozo,Centre-Back,21,3,Portugal,Liga Portugal,Boavista FC,France,Ligue 1,ESTAC Troyes,3
Robin Olsen,Goalkeeper,32,2,Italy,Serie A,AS Roma,England,Premier League,Aston Villa,3
Karim Konaté,Centre-Forward,18,0.6,Cote d'Ivoire,Without League,ASEC Mimosas,Austria,Bundesliga,Red Bull Salzburg,3
Enrico Del Prato,Right-Back,22,2,Italy,Serie A,Atalanta BC,Italy,Serie B,Parma Calcio 1913,3
Rodrigão,Centre-Back,26,3,Russia,Premier Liga,FC Sochi,Russia,Premier Liga,Zenit St. Petersburg,3
Marko Milovanovic,Centre-Forward,18,1,Serbia,Super liga Srbije,FK Partizan Belgrade,Spain,LaLiga,UD Almería,3
Lewis Ferguson,Central Midfield,22,2,Scotland,Premiership,Aberdeen FC,Italy,Serie A,Bologna FC 1909,3
Emanuel Aiwu,Centre-Back,21,3,Austria,Bundesliga,Rapid Vienna,Italy,Serie A,US Cremonese,3
Darko Churlinov,Left Winger,22,1,Germany,Bundesliga,VfB Stuttgart,England,Championship,Burnley FC,3
Anton Zinkovskiy,Left Winger,26,3,Russia,Premier Liga,Krylya Sovetov Samara,Russia,Premier Liga,Spartak Moscow,3
Daniil Utkin,Central Midfield,22,3,Russia,Premier Liga,FK Krasnodar,Russia,Premier Liga,FK Rostov,3
Kevin Agudelo,Right Winger,23,3,Italy,Serie B,Genoa CFC,Italy,Serie A,Spezia Calcio,2
Ivan Provedel,Goalkeeper,28,3,Italy,Serie A,Spezia Calcio,Italy,Serie A,SS Lazio,2
Dedryck Boyata,Centre-Back,31,3,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,Club Brugge KV,2
Daizen Maeda,Left Winger,24,3,Japan,J1 League,Yokohama F. Marinos,Scotland,Premiership,Celtic FC,1
Rodrigo Zalazar,Attacking Midfield,22,3,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,FC Schalke 04,1
Adrien Hunou,Centre-Forward,28,3,United States,MLS,Minnesota United FC,France,Ligue 1,Angers SCO,1
Sargis Adamyan,Centre-Forward,29,3,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,1. FC Köln,1
Halil Akbunar,Right Winger,28,3,Turkey,1.Lig,Göztepe,Belgium,Jupiler Pro League,KVC Westerlo,1
Riccardo Calafiori,Left-Back,20,3,Italy,Serie A,AS Roma,Switzerland,Super League,FC Basel 1893,1
Magnus Kofod Andersen,Central Midfield,23,3,Denmark,Superligaen,FC Nordsjaelland,Italy,Serie B,Venezia FC,0.51
Sasa Zdjelar,Defensive Midfield,27,3,Serbia,Super liga Srbije,FK Partizan Belgrade,Russia,Premier Liga,CSKA Moscow,0.5
Sandro Ramírez,Centre-Forward,27,3,Spain,LaLiga2,SD Huesca,Spain,LaLiga2,UD Las Palmas,0.5
Didier Lamkel Zé,Left Winger,25,3,Belgium,Jupiler Pro League,Royal Antwerp FC,Belgium,Jupiler Pro League,KV Kortrijk,0.5
Olimpiu Morutan,Right Winger,23,3,Turkey,Süper Lig,Galatasaray A.S.,Italy,Serie B,Pisa Sporting Club,0.15
Shapi Suleymanov,Right Winger,22,3,Russia,Premier Liga,FK Krasnodar,Israel,Ligat ha'Al,Hapoel Beer Sheva,0.15
Naci Ünüvar,Left Winger,19,3,Netherlands,Eredivisie,Ajax Amsterdam,Turkey,Süper Lig,Trabzonspor,0.15
Roman Evgenjev,Centre-Back,23,3,Russia,Premier Liga,Dynamo Moscow,Russia,Premier Liga,Krylya Sovetov Samara,0.025
Douglas Costa,Right Winger,31,3,Italy,Serie A,Juventus FC,United States,MLS,Los Angeles Galaxy,free transfer
Festy Ebosele,Right-Back,19,3,England,League One,Derby County,Italy,Serie A,Udinese Calcio,free transfer
Jérôme Onguéné,Centre-Back,24,3,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Eintracht Frankfurt,free transfer
Janik Haberer,Central Midfield,28,3,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,1.FC Union Berlin,free transfer
Joe Rothwell,Central Midfield,27,3,England,Championship,Blackburn Rovers,England,Premier League,AFC Bournemouth,free transfer
Óscar Estupiñán,Centre-Forward,25,3,Portugal,Liga Portugal,Vitória Guimarães SC,England,Championship,Hull City,free transfer
Mihailo Ristić,Left-Back,26,3,France,Ligue 1,Montpellier HSC,Portugal,Liga Portugal,SL Benfica,free transfer
Zinedine Ferhat,Right Winger,29,3,France,Ligue 2,Nîmes Olympique,Turkey,Süper Lig,Alanyaspor,free transfer
Maxime Busi,Right-Back,22,3,Italy,Serie B,Parma Calcio 1913,France,Ligue 1,Stade Reims,?
Joakim Nilsson,Centre-Back,28,3,Germany,2. Bundesliga,Arminia Bielefeld,United States,Without League,St. Louis CITY SC,free transfer
Robert Muric,Right Winger,26,3,Croatia,SuperSport HNL,HNK Rijeka,Turkey,Süper Lig,Konyaspor,?
Bryan Reynolds,Right-Back,21,3,Italy,Serie A,AS Roma,Belgium,Jupiler Pro League,KVC Westerlo,loan transfer
Alexis Canelo,Centre-Forward,30,3,Mexico,Liga MX Apertura,Deportivo Toluca,Mexico,Liga MX Apertura,Club Tijuana,free transfer
Marcel Ruiz,Central Midfield,21,3,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Deportivo Toluca,?
Omar Fernández,Left Winger,29,3,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Puebla FC,loan transfer
Lee Buchanan,Left-Back,21,3,England,League One,Derby County,Germany,Bundesliga,SV Werder Bremen,free transfer
Luca Moro,Centre-Forward,21,3,Italy,Serie A,US Sassuolo,Italy,Serie B,Frosinone Calcio,loan transfer
Lorenzo Colombo,Centre-Forward,20,3,Italy,Serie A,AC Milan,Italy,Serie A,US Lecce,loan transfer
Ionut Radu,Goalkeeper,25,3,Italy,Serie A,Inter Milan,Italy,Serie A,US Cremonese,loan transfer
Juan Otero,Right Winger,27,3,Mexico,Liga MX Apertura,CF América,Spain,LaLiga2,Sporting Gijón,loan transfer
Jack Clarke,Left Winger,21,3,England,Premier League,Tottenham Hotspur,England,Championship,Sunderland AFC,?
Radu Dragusin,Centre-Back,20,3,Italy,Serie A,Juventus FC,Italy,Serie B,Genoa CFC,loan transfer
Marlon,Left-Back,25,3,Brazil,Série A,Fluminense Football Club,Turkey,Süper Lig,MKE Ankaragücü,free transfer
Ferro,Centre-Back,25,3,Portugal,Liga Portugal,SL Benfica,Netherlands,Eredivisie,Vitesse Arnhem,loan transfer
Mattia Caldara,Centre-Back,28,3,Italy,Serie A,AC Milan,Italy,Serie A,Spezia Calcio,loan transfer
Lucas Halter,Centre-Back,22,3,Brazil,Série A,Club Athletico Paranaense,Brazil,Série A,Goiás Esporte Clube,loan transfer
Cecilio Domínguez,Left Winger,27,3,United States,MLS,Austin FC,Mexico,Liga MX Apertura,Santos Laguna,free transfer
Ismaily,Left-Back,32,3,Ukraine,Premier Liga,Shakhtar Donetsk,France,Ligue 1,LOSC Lille,free transfer
Matías Vecino,Central Midfield,30,3,Italy,Serie A,Inter Milan,Italy,Serie A,SS Lazio,free transfer
Domingo Blanco,Central Midfield,27,3,Argentina,Liga Profesional,Club Atlético Independiente,Ukraine,Premier Liga,SK Dnipro-1,free transfer
Alexis Sánchez,Left Winger,33,3,Italy,Serie A,Inter Milan,France,Ligue 1,Olympique Marseille,free transfer
Danilo Barbosa,Defensive Midfield,26,3,France,Ligue 1,OGC Nice,Brazil,Série A,Botafogo de Futebol e Regatas,free transfer
Pêpê,Central Midfield,25,3,Greece,Super League 1,Olympiacos Piraeus,Turkey,Süper Lig,MKE Ankaragücü,loan transfer
Caio Alexandre,Central Midfield,23,3,Canada,MLS,Vancouver Whitecaps FC,Brazil,Série A,Fortaleza Esporte Clube,loan transfer
Farid Boulaya,Attacking Midfield,29,3,France,Ligue 2,FC Metz,Qatar,Stars League,Al-Gharafa SC,free transfer
George Puscas,Centre-Forward,26,3,England,Championship,Reading FC,Italy,Serie B,Genoa CFC,loan transfer
Patrick Cutrone,Centre-Forward,24,3,England,Premier League,Wolverhampton Wanderers,Italy,Serie B,Como 1907,?
Vitinho,Left Winger,28,3,Brazil,Série A,Clube de Regatas do Flamengo,Saudi Arabia,Professional League,Ettifaq FC,?
Gabriel Charpentier,Centre-Forward,23,3,Italy,Serie B,Genoa CFC,Italy,Serie B,Parma Calcio 1913,?
Marko Pjaca,Left Winger,27,3,Italy,Serie A,Juventus FC,Italy,Serie A,FC Empoli,loan transfer
Eddie Salcedo,Centre-Forward,20,3,Italy,Serie A,Inter Milan,Italy,Serie B,SSC Bari,loan transfer
Tahith Chong,Right Winger,22,3,England,Premier League,Manchester United,England,Championship,Birmingham City,?
Berke Özer,Goalkeeper,22,3,Turkey,Süper Lig,Fenerbahce SK,Portugal,Liga Portugal,Portimonense SC,free transfer
Callum Styles,Central Midfield,22,3,England,League One,Barnsley FC,England,Championship,Millwall FC,loan transfer
Giacomo Vrioni,Centre-Forward,23,2,Italy,Serie A,Juventus FC,United States,MLS,New England Revolution,3
Ahmed Musa,Right Winger,29,3,Turkey,Süper Lig,Fatih Karagümrük,Turkey,Süper Lig,Sivasspor,free transfer
João Klauss,Centre-Forward,25,3,Germany,Bundesliga,TSG 1899 Hoffenheim,United States,Without League,St. Louis CITY SC,3
Manu García,Attacking Midfield,24,3,Spain,LaLiga2,Sporting Gijón,Greece,Super League 1,Aris Thessaloniki,3
Isak Hien,Centre-Back,23,1,Sweden,Allsvenskan,Djurgårdens IF,Italy,Serie A,Hellas Verona,3
Vakoun Issouf Bayo,Centre-Forward,25,3,Belgium,Jupiler Pro League,KAA Gent,Belgium,Jupiler Pro League,RSC Charleroi,1
Cédric Brunner,Right-Back,28,3,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,FC Schalke 04,free transfer
Ebrima Colley,Left Winger,22,3,Italy,Serie A,Atalanta BC,Turkey,Süper Lig,Fatih Karagümrük,loan transfer
Jean-Eudes Aholou,Defensive Midfield,28,3,Monaco,Ligue 1,AS Monaco,France,Ligue 1,RC Strasbourg Alsace,3
Emil Konradsen Ceide,Left Winger,20,2,Norway,Eliteserien,Rosenborg BK,Italy,Serie A,US Sassuolo,3
Abdou Harroui,Central Midfield,24,3,Netherlands,Eredivisie,Sparta Rotterdam,Italy,Serie A,US Sassuolo,3
Liberato Cacace,Left-Back,21,2,Belgium,Jupiler Pro League,Sint-Truidense VV,Italy,Serie A,FC Empoli,3
Mamadou Coulibaly,Central Midfield,23,2,Italy,Serie A,Udinese Calcio,Italy,Serie A,US Salernitana 1919,3
Leonardo Mancuso,Centre-Forward,30,2,Italy,Serie A,FC Empoli,Italy,Serie A,AC Monza,3
Elias Cobbaut,Centre-Back,24,3,Belgium,Jupiler Pro League,RSC Anderlecht,Italy,Serie B,Parma Calcio 1913,3
Lucas Fasson,Centre-Back,21,1,Brazil,Série A,Club Athletico Paranaense,Russia,Premier Liga,Lokomotiv Moscow,3
Ishaq Abdulrazak,Right Midfield,20,3,Sweden,Allsvenskan,IFK Norrköping,Belgium,Jupiler Pro League,RSC Anderlecht,3
Jayden Oosterwolde,Left-Back,21,1,Netherlands,Eredivisie,Twente Enschede FC,Italy,Serie B,Parma Calcio 1913,3
Osman Bukari,Right Winger,23,3,Belgium,Jupiler Pro League,KAA Gent,Serbia,Super liga Srbije,Red Star Belgrade,3
Gui Guedes,Central Midfield,20,0.5,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,UD Almería,3
Matías Palacios,Attacking Midfield,20,2,Switzerland,Super League,FC Basel 1893,United Arab Emirates,UAE Pro League,Al-Ain FC,3
Arijanet Muric,Goalkeeper,23,2,England,Premier League,Manchester City,England,Championship,Burnley FC,3
Roberto Fernández,Centre-Back,22,1,Paraguay,Primera División Clausura,Club Guaraní,Russia,Premier Liga,Dynamo Moscow,3
Bafodé Diakité,Centre-Back,21,3,France,Ligue 1,FC Toulouse,France,Ligue 1,LOSC Lille,3
Rasmus Carstensen,Right-Back,21,1,Denmark,Superligaen,Silkeborg IF,Belgium,Jupiler Pro League,KRC Genk,3
Thierno Baldé,Right-Back,20,2,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,ESTAC Troyes,3
Matthew Hoppe,Centre-Forward,21,1,Spain,LaLiga,RCD Mallorca,England,Championship,Middlesbrough FC,3
Albert Grönbaek,Central Midfield,21,1,Denmark,Superligaen,Aarhus GF,Norway,Eliteserien,FK Bodø/Glimt,3
Matteo Tramoni,Left Winger,22,2,Italy,Serie B,Cagliari Calcio,Italy,Serie B,Pisa Sporting Club,3
Marcel Tisserand,Centre-Back,29,2,Turkey,Süper Lig,Fenerbahce SK,Saudi Arabia,Professional League,Ettifaq FC,3
Vivaldo,Centre-Forward,17,-,Portugal,Without League,Sporting CP U17,Italy,Primavera 1,Udinese Primavera,3
Mario Mitaj,Left-Back,19,0.5,Greece,Super League 1,AEK Athens,Russia,Premier Liga,Lokomotiv Moscow,3
Nicolai Vallys,Left Winger,25,1,Denmark,Superligaen,Silkeborg IF,Denmark,Superligaen,Bröndby IF,3
Matt Clarke,Centre-Back,25,3,England,Premier League,Brighton & Hove Albion,England,Championship,Middlesbrough FC,2
Hrvoje Smolcic,Centre-Back,21,3,Croatia,SuperSport HNL,HNK Rijeka,Germany,Bundesliga,Eintracht Frankfurt,2
Antonio Colak,Centre-Forward,28,3,Greece,Super League 1,PAOK Thessaloniki,Scotland,Premiership,Rangers FC,2
Arkadiusz Reca,Left-Back,27,3,Italy,Serie A,Atalanta BC,Italy,Serie A,Spezia Calcio,2
Adama Traoré,Right Winger,27,3,Moldova,Super Liga,FC Sheriff Tiraspol,Hungary,NB I.,Ferencvárosi TC,2
Philip Zinckernagel,Right Winger,27,3,England,Championship,Watford FC,Greece,Super League 1,Olympiacos Piraeus,2
Rochinha,Left Winger,27,3,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,Sporting CP,2
Cédric Hountondji,Centre-Back,28,3,France,Ligue 1,Clermont Foot 63,France,Ligue 1,Angers SCO,2
Nathan,Right-Back,20,3,Portugal,Liga Portugal,Boavista FC,Brazil,Série A,Santos FC,2
László Bénes,Central Midfield,24,3,Germany,Bundesliga,Borussia Mönchengladbach,Germany,2. Bundesliga,Hamburger SV,1
Nikolay Komlichenko,Centre-Forward,27,3,Russia,Premier Liga,Dynamo Moscow,Russia,Premier Liga,FK Rostov,1
Moreto Cassamá,Central Midfield,24,3,France,Ligue 1,Stade Reims,Cyprus,Protathlima Cyta,Omonia Nicosia,1
Abdul Mumin,Centre-Back,24,3,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,Rayo Vallecano,1
Petar Stojanovic,Right-Back,26,3,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Italy,Serie A,FC Empoli,1
Monchu,Central Midfield,22,3,Spain,LaLiga2,Granada CF,Spain,LaLiga,Real Valladolid CF,1
